time; F_set; F_input; F_error; F_output +; F_output -; T_set; T_input; T_error; T_output +; T_output -; S_set; S_input; S_error; S_output +; S_output -; F_kp+; F_kp-; F_ki+; F_ki-; F_kd+; F_kd-; T_kp+; T_kp-; T_ki+; T_ki-; T_kd+; T_kd-; S_kp+; S_kp-; S_ki+; S_ki-; S_kd+; S_kd-
9.7; 0.29386; 0.31461; -0.02074; 0; 0.05714; 0.00565; 0.00835; -0.0027; 0.00957; 0.00634; 0.00653; -0.00337; 0.00991; 0.04255; 0; -0.02821; 0.02952; 0; 0.02763; 0; 0; -0.00588; 0.00587; 0.01545; 0.00046; 0; 0; 0.02154; -0.02153; 0.02102; 0; 0; 0; 
9.74; 0.29324; 0.3146; -0.02137; 0; 0.05815; 0.00609; 0.00838; -0.00229; 0.01043; 0.00548; 0.00658; -0.00337; 0.00995; 0.04278; 0; -0.02906; 0.0304; 0; 0.02775; 0; 0; -0.00499; 0.00499; 0.01542; 0.00049; 0; 0; 0.02164; -0.02163; 0.02115; 0; 0; 0; 
9.78; 0.29261; 0.3146; -0.02199; 0; 0.05916; 0.00658; 0.00842; -0.00184; 0.01139; 0.00452; 0.00665; -0.00337; 0.01002; 0.04306; 0; -0.02991; 0.03129; 0; 0.02787; 0; 0; -0.00401; 0.004; 0.0154; 0.00052; 0; 0; 0.02178; -0.02178; 0.02128; 0; 0; 0; 
9.84; 0.29166; 0.31459; -0.02293; 0; 0.06069; 0.00737; 0.00847; -0.0011; 0.01298; 0.00294; 0.00679; -0.00337; 0.01016; 0.04357; 0; -0.03118; 0.03263; 0; 0.02806; 0; 0; -0.0024; 0.0024; 0.01537; 0.00054; 0; 0; 0.02209; -0.02209; 0.02148; 0; 0; 0; 
9.88; 0.29103; 0.31459; -0.02355; 0; 0.06171; 0.00793; 0.00793; 0; 0.01537; 0.00054; 0.00691; -0.00337; 0.01028; 0.04396; 0; -0.03203; 0.03351; 0; 0.0282; 0; 0; 0; 0; 0.01537; 0.00054; 0; 0; 0.02235; -0.02235; 0.02161; 0; 0; 0; 
9.92; 0.2904; 0.31458; -0.02418; 0; 0.06273; 0.00851; 0.00851; 0; 0.01537; 0.00054; 0.00704; -0.00337; 0.01041; 0.04438; 0; -0.03288; 0.0344; 0; 0.02833; 0; 0; 0; 0; 0.01537; 0.00054; 0; 0; 0.02263; -0.02263; 0.02175; 0; 0; 0; 
9.96; 0.28977; 0.31458; -0.0248; 0; 0.06376; 0.0091; 0.0091; 0; 0.01537; 0.00054; 0.00719; -0.00336; 0.01055; 0.04483; 0; -0.03373; 0.03529; 0; 0.02847; 0; 0; 0; 0; 0.01537; 0.00054; 0; 0; 0.02295; -0.02294; 0.02189; 0; 0; 0; 
10.02; 0.28883; 0.31457; -0.02574; 0; 0.06531; 0.00998; 0.00865; 0.00133; 0.01829; 0; 0.00743; -0.00336; 0.01079; 0.04556; 0; -0.035; 0.03662; 0; 0.02869; 0; 0; 0.00289; -0.00289; 0.0154; 0; 0; 0; 0.02346; -0.02346; 0.0221; 0; 0; 0; 
10.06; 0.2882; 0.31456; -0.02636; 0; 0.06635; 0.01057; 0.00869; 0.00188; 0.0195; 0; 0.00761; -0.00335; 0.01096; 0.04607; 0; -0.03585; 0.03751; 0; 0.02884; 0; 0; 0.00408; -0.00408; 0.01542; 0; 0; 0; 0.02382; -0.02382; 0.02224; 0; 0; 0; 
10.1; 0.28757; 0.31456; -0.02699; 0; 0.06739; 0.01115; 0.00874; 0.00242; 0.02071; 0; 0.00778; -0.00335; 0.01113; 0.04659; 0; -0.0367; 0.0384; 0; 0.02899; 0; 0; 0.00526; -0.00526; 0.01546; 0; 0; 0; 0.0242; -0.0242; 0.02239; 0; 0; 0; 
10.14; 0.28663; 0.31455; -0.02792; 0; 0.06888; 0.01201; 0.0088; 0.00321; 0.02248; 0; 0.00806; -0.00334; 0.0114; 0.04732; 0; -0.03797; 0.03973; 0; 0.02914; 0; 0; 0.00698; -0.00698; 0.0155; 0; 0; 0; 0.02478; -0.02478; 0.02254; 0; 0; 0; 
10.2; 0.286; 0.31455; -0.02855; 0; 0.07001; 0.01256; 0.00884; 0.00372; 0.02367; 0; 0.00824; -0.00333; 0.01158; 0.04794; 0; -0.03882; 0.04062; 0; 0.02939; 0; 0; 0.0081; -0.00809; 0.01557; 0; 0; 0; 0.02517; -0.02517; 0.02277; 0; 0; 0; 
10.24; 0.28537; 0.31454; -0.02917; 0; 0.07106; 0.01309; 0.00887; 0.00422; 0.0248; 0; 0.00843; -0.00333; 0.01176; 0.04848; 0; -0.03967; 0.04151; 0; 0.02955; 0; 0; 0.00917; -0.00917; 0.01563; 0; 0; 0; 0.02556; -0.02556; 0.02292; 0; 0; 0; 
10.28; 0.28474; 0.31454; -0.0298; 0; 0.07212; 0.01361; 0.00891; 0.00469; 0.02589; 0; 0.00861; -0.00332; 0.01194; 0.04903; 0; -0.04052; 0.0424; 0; 0.02972; 0; 0; 0.01021; -0.0102; 0.01569; 0; 0; 0; 0.02595; -0.02595; 0.02308; 0; 0; 0; 
10.32; 0.2838; 0.31453; -0.03073; 0; 0.07362; 0.01433; 0.00897; 0.00537; 0.02743; 0; 0.00889; -0.00332; 0.0122; 0.04977; 0; -0.0418; 0.04373; 0; 0.02989; 0; 0; 0.01167; -0.01167; 0.01576; 0; 0; 0; 0.02653; -0.02653; 0.02324; 0; 0; 0; 
10.38; 0.28317; 0.31453; -0.03136; 0; 0.07478; 0.01479; 0.009; 0.00579; 0.02847; 0; 0.00907; -0.00331; 0.01238; 0.0504; 0; -0.04264; 0.04462; 0; 0.03015; 0; 0; 0.01259; -0.01259; 0.01587; 0; 0; 0; 0.02692; -0.02692; 0.02348; 0; 0; 0; 
10.42; 0.28254; 0.31452; -0.03198; 0; 0.07584; 0.01522; 0.00903; 0.00619; 0.02941; 0; 0.00926; -0.0033; 0.01256; 0.05095; 0; -0.04349; 0.04551; 0; 0.03033; 0; 0; 0.01346; -0.01345; 0.01595; 0; 0; 0; 0.02731; -0.02731; 0.02365; 0; 0; 0; 
10.46; 0.28191; 0.31452; -0.03261; 0; 0.07692; 0.01563; 0.00907; 0.00657; 0.03032; 0; 0.00944; -0.0033; 0.01274; 0.05151; 0; -0.04434; 0.0464; 0; 0.03052; 0; 0; 0.01428; -0.01427; 0.01604; 0; 0; 0; 0.02769; -0.02769; 0.02381; 0; 0; 0; 
10.5; 0.28097; 0.31451; -0.03354; 0; 0.07844; 0.0162; 0.00911; 0.00708; 0.03153; 0; 0.00972; -0.00329; 0.01301; 0.05226; 0; -0.04562; 0.04773; 0; 0.03071; 0; 0; 0.0154; -0.01539; 0.01613; 0; 0; 0; 0.02827; -0.02827; 0.02398; 0; 0; 0; 
10.56; 0.28034; 0.31235; -0.03201; 0; 0.07653; 0.01653; 0.00914; 0.00739; 0.03234; 0; 0.0101; -0.00143; 0.01153; 0.04926; 0; -0.04353; 0.04555; 0; 0.03098; 0; 0; 0.01607; -0.01606; 0.01628; 0; 0; 0; 0.02506; -0.02506; 0.02421; 0; -1E-05; -1E-05; 
10.6; 0.27972; 0.3102; -0.03048; 0; 0.07452; 0.01683; 0.00917; 0.00766; 0.03304; 0; 0.01071; 0.00045; 0.01026; 0.04664; 0; -0.04144; 0.04337; 0; 0.03115; 0; 0; 0.01667; -0.01666; 0.01638; 0; 0; 0; 0.02231; -0.02231; 0.02435; 0; -2E-05; -2E-05; 
10.64; 0.2791; 0.30797; -0.02887; 0; 0.07239; 0.01719; 0.00891; 0.00828; 0.0345; 0; 0.01126; 0.00346; 0.0078; 0.04136; 0; -0.03926; 0.04108; 0; 0.03131; 0; 0; 0.01801; -0.018; 0.01649; 0; 0; 0; 0.01695; -0.01695; 0.02445; 0; -3E-05; -3E-05; 
10.7; 0.27818; 0.30574; -0.02756; 0; 0.07076; 0.01784; 0.00867; 0.00918; 0.03663; 0; 0.01181; 0.00649; 0.00532; 0.03609; 0; -0.03748; 0.03921; 0; 0.03154; 0; 0; 0.01996; -0.01995; 0.01667; 0; 0; 0; 0.01156; -0.01156; 0.02455; 0; -2E-05; -2E-05; 
10.74; 0.27757; 0.30574; -0.02817; 0; 0.07178; 0.01825; 0.0087; 0.00955; 0.03756; 0; 0.01208; 0.00652; 0.00556; 0.03672; 0; -0.0383; 0.04008; 0; 0.0317; 0; 0; 0.02077; -0.02076; 0.01679; 0; 0; 0; 0.01209; -0.01209; 0.02463; 0; 0; 0; 
10.78; 0.27696; 0.30573; -0.02877; 0; 0.0728; 0.01861; 0.00873; 0.00988; 0.03842; 0; 0.01228; 0.00654; 0.00575; 0.03719; 0; -0.03913; 0.04094; 0; 0.03186; 0; 0; 0.02149; -0.02148; 0.01692; 0; 0; 0; 0.01249; -0.01249; 0.0247; 0; 0; 0; 
10.82; 0.27635; 0.30573; -0.02938; 0; 0.07383; 0.01893; 0.00875; 0.01018; 0.03919; 0; 0.01243; 0.00656; 0.00588; 0.03755; 0; -0.03995; 0.0418; 0; 0.03203; 0; 0; 0.02213; -0.02212; 0.01706; 0; 0; 0; 0.01277; -0.01277; 0.02478; 0; 0; 0; 
10.88; 0.27543; 0.30572; -0.03029; 0; 0.07538; 0.01933; 0.00879; 0.01054; 0.04019; 0; 0.01256; 0.00658; 0.00598; 0.03789; 0; -0.04119; 0.0431; 0; 0.03228; 0; 0; 0.02293; -0.02292; 0.01727; 0; 0; 0; 0.01299; -0.01299; 0.0249; 0; 0; 0; 
10.92; 0.27482; 0.30572; -0.0309; 0; 0.07642; 0.01955; 0.00881; 0.01074; 0.04076; 0; 0.01258; 0.00659; 0.00599; 0.03799; 0; -0.04202; 0.04396; 0; 0.03246; 0; 0; 0.02336; -0.02334; 0.01741; 0; 0; 0; 0.01302; -0.01302; 0.02497; 0; 0; 0; 
10.96; 0.27421; 0.30571; -0.0315; 0; 0.07746; 0.01974; 0.00883; 0.0109; 0.04126; 0; 0.01257; 0.00661; 0.00596; 0.03802; 0; -0.04284; 0.04483; 0; 0.03263; 0; 0; 0.02371; -0.0237; 0.01755; 0; 0; 0; 0.01296; -0.01296; 0.02505; 0; 0; 0; 
11; 0.27329; 0.30571; -0.03241; 0; 0.07894; 0.01995; 0.00886; 0.01109; 0.0418; 0; 0.01248; 0.00662; 0.00586; 0.03787; 0; -0.04408; 0.04612; 0; 0.03282; 0; 0; 0.02411; -0.0241; 0.01769; 0; 0; 0; 0.01274; -0.01274; 0.02513; 0; 0; 0; 
11.06; 0.27268; 0.3057; -0.03302; 0; 0.08008; 0.02004; 0.00887; 0.01117; 0.0422; 0; 0.01238; 0.00662; 0.00575; 0.03775; 0; -0.04491; 0.04699; 0; 0.03309; 0; 0; 0.02429; -0.02428; 0.01791; 0; 0; 0; 0.01251; -0.01251; 0.02524; 0; 0; 0; 
11.1; 0.27207; 0.30427; -0.0322; 0; 0.0791; 0.02011; 0.00889; 0.01122; 0.04246; 0; 0.01225; 0.00663; 0.00562; 0.03754; 0; -0.0438; 0.04583; 0; 0.03327; 0; 0; 0.0244; -0.02439; 0.01806; 0; 0; 0; 0.01222; -0.01222; 0.02532; 0; 0; 0; 
11.14; 0.27146; 0.30142; -0.02996; 0; 0.07608; 0.02014; 0.0089; 0.01124; 0.04266; 0; 0.01209; 0.00663; 0.00546; 0.03726; 0; -0.04074; 0.04263; 0; 0.03344; 0; 1E-05; 0.02445; -0.02444; 0.01821; 0; 0; 0; 0.01188; -0.01188; 0.02539; 0; 0; 0; 
11.18; 0.27057; 0.29711; -0.02654; 0; 0.07136; 0.02013; 0.00891; 0.01122; 0.04274; 0; 0.01182; 0.00663; 0.00518; 0.03672; 0; -0.03609; 0.03776; 0; 0.03359; 1E-05; 1E-05; 0.02439; -0.02438; 0.01836; 0; 0; 0; 0.01126; -0.01126; 0.02546; 0; 0; 0; 
11.24; 0.26998; 0.29421; -0.02424; 0; 0.06829; 0.02008; 0.00892; 0.01116; 0.04285; 0; 0.0116; 0.00663; 0.00497; 0.03635; 0; -0.03296; 0.03449; 0; 0.0338; 0; 0; 0.02427; -0.02426; 0.01858; 0; 0; 0; 0.0108; -0.0108; 0.02555; 0; 0; 0; 
11.28; 0.26939; 0.29421; -0.02482; 0; 0.06925; 0.02002; 0.00893; 0.01109; 0.04283; 0; 0.01138; 0.00663; 0.00474; 0.03593; 0; -0.03375; 0.03532; 0; 0.03394; 0; 0; 0.02411; -0.0241; 0.01872; 0; 0; 0; 0.01031; -0.01031; 0.02562; 0; 0; 0; 
11.32; 0.2688; 0.29421; -0.02541; 0; 0.07023; 0.01993; 0.00893; 0.011; 0.04278; 0; 0.01114; 0.00663; 0.00451; 0.03547; 0; -0.03455; 0.03615; 0; 0.03408; 0; 0; 0.02391; -0.0239; 0.01887; 0; 0; 0; 0.0098; -0.0098; 0.02568; 0; 0; 0; 
11.36; 0.26792; 0.2942; -0.02628; 0; 0.07163; 0.01977; 0.00894; 0.01083; 0.04256; 0; 0.01077; 0.00663; 0.00413; 0.03472; 0; -0.03574; 0.0374; 0; 0.03423; 0; 0; 0.02355; -0.02354; 0.01901; 0; 0; 0; 0.00899; -0.00899; 0.02573; 0; 0; 0; 
11.42; 0.26733; 0.2942; -0.02687; 0; 0.07268; 0.01965; 0.00894; 0.0107; 0.04249; 0; 0.01051; 0.00663; 0.00388; 0.03423; 0; -0.03654; 0.03823; 0; 0.03445; 0; 0; 0.02327; -0.02326; 0.01922; 0; 0; 0; 0.00843; -0.00843; 0.02581; 0; 0; 0; 
11.46; 0.26674; 0.29419; -0.02745; 0; 0.07367; 0.01951; 0.00895; 0.01056; 0.04232; 0; 0.01024; 0.00663; 0.00362; 0.03371; 0; -0.03733; 0.03906; 0; 0.03461; 0; 0; 0.02297; -0.02296; 0.01936; 0; 0; 0; 0.00786; -0.00786; 0.02585; 0; 0; 0; 
11.5; 0.26615; 0.29419; -0.02804; 0; 0.07466; 0.01936; 0.00895; 0.01041; 0.04213; 0; 0.00998; 0.00662; 0.00335; 0.03318; 0; -0.03813; 0.0399; 0; 0.03476; 0; 0; 0.02263; -0.02262; 0.01949; 0; 0; 0; 0.00729; -0.00728; 0.0259; 0; 0; 0; 
11.54; 0.26527; 0.29419; -0.02892; 0; 0.07607; 0.01911; 0.00895; 0.01016; 0.04171; 0; 0.00958; 0.00662; 0.00296; 0.03236; 0; -0.03932; 0.04114; 0; 0.03493; 0; 0; 0.02208; -0.02208; 0.01963; 0; 0; 0; 0.00643; -0.00643; 0.02594; 0; 0; 0; 
11.6; 0.26468; 0.29418; -0.0295; 0; 0.07715; 0.01893; 0.00895; 0.00998; 0.04152; 0; 0.00931; 0.00662; 0.00269; 0.03184; 0; -0.04012; 0.04198; 0; 0.03518; 0; 0; 0.02169; -0.02168; 0.01982; 0; 0; 0; 0.00585; -0.00585; 0.02599; 0; 0; 0; 
11.64; 0.26409; 0.29418; -0.03009; 0; 0.07815; 0.01874; 0.00895; 0.00979; 0.04124; 0; 0.00904; 0.00662; 0.00243; 0.0313; 0; -0.04091; 0.04281; 0; 0.03535; 0; 0; 0.02128; -0.02127; 0.01995; 0; 0; 0; 0.00528; -0.00528; 0.02602; 0; 0; 0; 
11.68; 0.26351; 0.29418; -0.03067; 0; 0.07916; 0.01854; 0.00895; 0.00959; 0.04093; 0; 0.00878; 0.00661; 0.00216; 0.03075; 0; -0.04171; 0.04364; 0; 0.03552; 0; 0; 0.02085; -0.02084; 0.02008; 0; 0; 0; 0.0047; -0.0047; 0.02605; 0; 0; 0; 
11.74; 0.26262; 0.29417; -0.03155; 0; 0.08067; 0.01823; 0.00895; 0.00928; 0.04044; 0; 0.00838; 0.00661; 0.00177; 0.02993; 0; -0.0429; 0.04489; 0; 0.03578; 0; 0; 0.02018; -0.02017; 0.02026; 0; 0; 0; 0.00384; -0.00384; 0.02608; 0; 0; 0; 
11.78; 0.26203; 0.29417; -0.03213; 0; 0.08169; 0.01801; 0.00895; 0.00906; 0.04009; 0; 0.00811; 0.00661; 0.00151; 0.02938; 0; -0.0437; 0.04572; 0; 0.03596; 0; 0; 0.0197; -0.0197; 0.02038; 0; 0; 0; 0.00327; -0.00327; 0.0261; 0; 0; 0; 
11.82; 0.26145; 0.29274; -0.03129; 0; 0.08067; 0.01779; 0.00895; 0.00884; 0.03971; 0; 0.00784; 0.0066; 0.00124; 0.02882; 0; -0.04255; 0.04452; 0; 0.03614; 0; 0; 0.01922; -0.01921; 0.0205; 0; 0; 0; 0.0027; -0.0027; 0.02612; 0; 0; 0; 
11.86; 0.26087; 0.28988; -0.02901; 0; 0.07759; 0.01756; 0.00895; 0.00861; 0.03934; 0; 0.00755; 0.0066; 0.00095; 0.0282; 0; -0.03945; 0.04128; 0; 0.0363; 0; 1E-05; 0.01873; -0.01872; 0.02061; 0; 0; 0; 0.00206; -0.00206; 0.02613; 0; 0; 0; 
11.92; 0.26; 0.2855; -0.0255; 0; 0.0728; 0.01718; 0.00894; 0.00824; 0.03869; 0; 0.00716; 0.00716; 0; 0.02613; 0; -0.03467; 0.03628; 0; 0.03652; 0; 1E-05; 0.01791; -0.01791; 0.02077; 0; 0; 0; 0; 0; 0.02613; 0; 0; 0; 
11.96; 0.25944; 0.28255; -0.02311; 0; 0.06954; 0.01693; 0.00894; 0.00799; 0.03824; 0; 0.00688; 0.00688; 0; 0.02613; 0; -0.03143; 0.03289; 0; 0.03665; 0; 1E-05; 0.01737; -0.01736; 0.02088; 0; 0; 0; 0; 0; 0.02613; 0; 0; 0; 
12; 0.25887; 0.28255; -0.02368; 0; 0.07047; 0.01667; 0.00894; 0.00773; 0.03779; 0; 0.00661; 0.00661; 0; 0.02613; 0; -0.0322; 0.03369; 0; 0.03678; 0; 0; 0.01682; -0.01681; 0.02098; 0; 0; 0; 0; 0; 0.02613; 0; 0; 0; 
12.04; 0.25802; 0.28254; -0.02452; 0; 0.07181; 0.01629; 0.00893; 0.00735; 0.03707; 0; 0.00619; 0.00619; 0; 0.02613; 0; -0.03334; 0.03489; 0; 0.03692; 0; 0; 0.01599; -0.01598; 0.02107; 0; 0; 0; 0; 0; 0.02613; 0; 0; 0; 
12.1; 0.25746; 0.28254; -0.02508; 0; 0.07282; 0.01603; 0.00893; 0.0071; 0.03665; 0; 0.00591; 0.00658; -0.00067; 0.02466; 0.00147; -0.03411; 0.03569; 0; 0.03713; 0; 0; 0.01544; -0.01543; 0.02121; 0; 0; 0; -0.00146; 0.00146; 0.02612; 1E-05; 0; 0; 
12.14; 0.25689; 0.28254; -0.02564; 0; 0.07376; 0.01577; 0.00893; 0.00685; 0.03619; 0; 0.00563; 0.00658; -0.00095; 0.02405; 0.00208; -0.03487; 0.03649; 0; 0.03727; 0; 0; 0.01489; -0.01488; 0.0213; 0; 0; 0; -0.00206; 0.00206; 0.02611; 3E-05; 0; 0; 
12.18; 0.25633; 0.28253; -0.0262; 0; 0.07471; 0.01552; 0.00892; 0.00659; 0.03573; 0; 0.00535; 0.00658; -0.00122; 0.02344; 0.0027; -0.03563; 0.03729; 0; 0.03742; 0; 0; 0.01434; -0.01433; 0.02139; 0; 0; 0; -0.00265; 0.00265; 0.02609; 4E-05; 0; 0; 
12.22; 0.25548; 0.28253; -0.02705; 0; 0.07606; 0.01513; 0.00892; 0.00622; 0.03499; 0; 0.00494; 0.00657; -0.00163; 0.02252; 0.00361; -0.03678; 0.03849; 0; 0.03757; 0; 0; 0.01352; -0.01351; 0.02147; 0; 0; 0; -0.00355; 0.00355; 0.02607; 6E-05; 0; 0; 
12.28; 0.25492; 0.28252; -0.02761; 0; 0.07709; 0.01488; 0.00891; 0.00596; 0.03456; 0; 0.00466; 0.00657; -0.00191; 0.02189; 0.00425; -0.03754; 0.03928; 0; 0.03781; 0; 0; 0.01297; -0.01296; 0.02159; 0; 0; 0; -0.00414; 0.00414; 0.02603; 0.0001; 0; 0; 
12.32; 0.25435; 0.28252; -0.02817; 0; 0.07805; 0.01462; 0.00891; 0.00571; 0.03408; 0; 0.00438; 0.00656; -0.00218; 0.02126; 0.00487; -0.03831; 0.04008; 0; 0.03797; 0; 0; 0.01242; -0.01241; 0.02166; 0; 0; 0; -0.00474; 0.00474; 0.026; 0.00013; 0; 0; 
12.36; 0.25379; 0.28252; -0.02873; 0; 0.07901; 0.01437; 0.00891; 0.00546; 0.0336; 0; 0.00411; 0.00656; -0.00245; 0.02064; 0.00549; -0.03907; 0.04088; 0; 0.03813; 0; 0; 0.01187; -0.01186; 0.02174; 0; 0; 0; -0.00533; 0.00533; 0.02597; 0.00016; 0; 0; 
12.4; 0.25294; 0.28251; -0.02957; 0; 0.08038; 0.01398; 0.0089; 0.00508; 0.03285; 0; 0.0037; 0.00656; -0.00285; 0.01973; 0.0064; -0.04022; 0.04208; 0; 0.03829; 0; 0; 0.01104; -0.01104; 0.0218; 0; 0; 0; -0.0062; 0.0062; 0.02593; 0.0002; 0; 0; 
12.46; 0.25237; 0.28109; -0.02871; 0; 0.07939; 0.01372; 0.0089; 0.00482; 0.03239; 0; 0.00344; 0.00655; -0.00312; 0.01909; 0.00704; -0.03904; 0.04085; 0; 0.03854; 0; 0; 0.01049; -0.01048; 0.0219; 0; 0; 0; -0.00678; 0.00678; 0.02587; 0.00026; 0; 0; 
12.5; 0.25182; 0.27823; -0.02642; 0; 0.07628; 0.01346; 0.0089; 0.00456; 0.03188; 0; 0.00317; 0.00655; -0.00339; 0.01847; 0.00766; -0.03592; 0.03759; 0; 0.03868; 0; 1E-05; 0.00992; -0.00992; 0.02196; 0; 0; 0; -0.00736; 0.00736; 0.02583; 0.0003; 0; 0; 
12.54; 0.25126; 0.27536; -0.02409; 0; 0.0731; 0.01319; 0.00889; 0.0043; 0.03136; 0; 0.0029; 0.00655; -0.00365; 0.01784; 0.00829; -0.03276; 0.03428; 0; 0.03882; 0; 1E-05; 0.00934; -0.00934; 0.02201; 0; 0; 0; -0.00794; 0.00794; 0.02578; 0.00035; 0; 0; 
12.6; 0.25045; 0.271; -0.02056; 0; 0.06825; 0.01277; 0.00889; 0.00388; 0.03054; 0; 0.0025; 0.00654; -0.00404; 0.01691; 0.00922; -0.02795; 0.02925; 0; 0.03899; 0; 1E-05; 0.00845; -0.00844; 0.02209; 0; 0; 0; -0.00879; 0.00879; 0.0257; 0.00043; 0; 0; 
12.64; 0.24991; 0.271; -0.02109; 0; 0.06913; 0.01249; 0.00888; 0.00361; 0.02998; 0; 0.00224; 0.00654; -0.0043; 0.0163; 0.00983; -0.02869; 0.03002; 0; 0.03911; 0; 0; 0.00784; -0.00784; 0.02214; 0; 0; 0; -0.00935; 0.00935; 0.02564; 0.00049; 0; 0; 
12.68; 0.24936; 0.271; -0.02163; 0; 0.07002; 0.01221; 0.00888; 0.00333; 0.02942; 0; 0.00199; 0.00654; -0.00455; 0.01569; 0.01044; -0.02942; 0.03078; 0; 0.03923; 0; 0; 0.00724; -0.00723; 0.02218; 0; 0; 0; -0.00989; 0.00989; 0.02558; 0.00055; 0; 0; 
12.72; 0.24882; 0.27099; -0.02217; 0; 0.07091; 0.01192; 0.00887; 0.00305; 0.02884; 0; 0.00172; 0.00654; -0.00481; 0.01506; 0.01108; -0.03015; 0.03155; 0; 0.03936; 0; 0; 0.00662; -0.00662; 0.02222; 0; 0; 0; -0.01047; 0.01047; 0.02552; 0.00061; 0; 0; 
12.78; 0.24801; 0.27099; -0.02298; 0; 0.07225; 0.0115; 0.00887; 0.00263; 0.028; 0; 0.00137; 0.00654; -0.00516; 0.01419; 0.01194; -0.03125; 0.0327; 0; 0.03955; 0; 0; 0.00573; -0.00573; 0.02227; 0; 0; 0; -0.01123; 0.01123; 0.02542; 0.00071; 0; 0; 
12.82; 0.24747; 0.27099; -0.02352; 0; 0.07315; 0.01122; 0.00886; 0.00236; 0.02743; 0; 0.00113; 0.00654; -0.00541; 0.0136; 0.01254; -0.03198; 0.03347; 0; 0.03968; 0; 0; 0.00512; -0.00512; 0.0223; 0; 0; 0; -0.01175; 0.01175; 0.02535; 0.00078; 0; 0; 
12.86; 0.24692; 0.27098; -0.02406; 0; 0.07405; 0.01094; 0.00886; 0.00208; 0.02685; 0; 0.00089; 0.00653; -0.00565; 0.013; 0.01313; -0.03272; 0.03423; 0; 0.03982; 0; 0; 0.00452; -0.00452; 0.02233; 0; 0; 0; -0.01228; 0.01228; 0.02527; 0.00086; 0; 0; 
12.9; 0.24611; 0.27098; -0.02487; 0; 0.07534; 0.01051; 0.00885; 0.00166; 0.02597; 0; 0.00053; 0.00653; -0.006; 0.01214; 0.01399; -0.03382; 0.03538; 0; 0.03996; 0; 0; 0.00362; -0.00361; 0.02235; 0; 0; 0; -0.01305; 0.01305; 0.0252; 0.00094; 0; 0; 
12.96; 0.24557; 0.27097; -0.02541; 0; 0.07632; 0.01023; 0.00884; 0.00139; 0.0254; 0; 0.00029; 0.00653; -0.00624; 0.01151; 0.01462; -0.03455; 0.03615; 0; 0.04017; 0; 0; 0.00301; -0.00301; 0.02238; 0; 0; 0; -0.01356; 0.01356; 0.02507; 0.00106; 0; 0; 
13; 0.24503; 0.27097; -0.02594; 0; 0.07724; 0.00995; 0.00884; 0.00111; 0.02481; 0; 6E-05; 0.00653; -0.00647; 0.01092; 0.01521; -0.03528; 0.03692; 0; 0.04032; 0; 0; 0.00241; -0.00241; 0.0224; 0; 0; 0; -0.01407; 0.01407; 0.02499; 0.00114; 0; 0; 
13.04; 0.24449; 0.27097; -0.02648; 0; 0.07815; 0.00967; 0.00884; 0.00083; 0.02422; 0; -0.00018; 0.00653; -0.00671; 0.01032; 0.01581; -0.03601; 0.03768; 0; 0.04047; 0; 0; 0.00181; -0.00181; 0.02241; 0; 0; 0; -0.01458; 0.01458; 0.0249; 0.00123; 0; 0; 
13.08; 0.24367; 0.27096; -0.02729; 0; 0.07945; 0.00925; 0.00925; 0; 0.02241; 0; -0.00052; 0.00653; -0.00705; 0.00948; 0.01665; -0.03711; 0.03883; 0; 0.04062; 0; 0; 0; 0; 0.02241; 0; 0; 0; -0.01533; 0.01533; 0.02481; 0.00132; 0; 0; 
13.14; 0.24313; 0.27096; -0.02783; 0; 0.08046; 0.00897; 0.00897; 0; 0.02241; 0; -0.00075; 0.00653; -0.00728; 0.00884; 0.01729; -0.03785; 0.0396; 0; 0.04086; 0; 0; 0; 0; 0.02241; 0; 0; 0; -0.01583; 0.01583; 0.02466; 0.00147; 0; 0; 
13.18; 0.24259; 0.26952; -0.02693; 0; 0.07934; 0.00868; 0.00868; 0; 0.02241; 0; -0.00098; 0.00653; -0.00751; 0.00824; 0.01789; -0.03663; 0.03833; 0; 0.04101; 0; 0; 0; 0; 0.02241; 0; 0; 0; -0.01632; 0.01632; 0.02457; 0.00157; 0; 0; 
13.22; 0.24205; 0.26666; -0.0246; 0; 0.07616; 0.00839; 0.00839; 0; 0.02241; 0; -0.00121; 0.00652; -0.00774; 0.00764; 0.01849; -0.03346; 0.03501; 0; 0.04114; 0; 1E-05; 0; 0; 0.02241; 0; 0; 0; -0.01682; 0.01682; 0.02446; 0.00167; 0; 0; 
13.26; 0.24126; 0.26232; -0.02105; 0; 0.07123; 0.00795; 0.00881; -0.00086; 0.02052; 0.00187; -0.00156; 0.00652; -0.00808; 0.00679; 0.01934; -0.02863; 0.02996; 0; 0.04126; 1E-05; 1E-05; -0.00187; 0.00187; 0.0224; 1E-05; 0; 0; -0.01757; 0.01756; 0.02436; 0.00177; 0; 0; 
13.32; 0.24074; 0.26086; -0.02012; 0; 0.07007; 0.00765; 0.0088; -0.00116; 0.01986; 0.00255; -0.00178; 0.00652; -0.00831; 0.00614; 0.02; -0.02736; 0.02863; 0; 0.04143; 0; 0; -0.00251; 0.00251; 0.02237; 3E-05; 0; 0; -0.01806; 0.01806; 0.02419; 0.00194; 0; 0; 
